calendar_date,date_string,day_of_week,day_of_month,day_of_year,day_of_calendar,weekday_of_month,week_of_month,week_of_year,week_of_calendar,month_of_quarter,month_of_year,month_of_calendar,quarter_of_year,quarter_of_calendar,year_of_calendar
1/1/20,2020-01-01,4,1,1,43830,1,0,0,6261,1,1,1441,1,481,2020
1/2/20,2020-01-02,5,2,2,43831,1,0,0,6261,1,1,1441,1,481,2020
1/3/20,2020-01-03,6,3,3,43832,1,0,0,6261,1,1,1441,1,481,2020
1/4/20,2020-01-04,7,4,4,43833,1,0,0,6261,1,1,1441,1,481,2020
1/5/20,2020-01-05,1,5,5,43834,1,1,1,6262,1,1,1441,1,481,2020
1/6/20,2020-01-06,2,6,6,43835,1,1,1,6262,1,1,1441,1,481,2020
1/7/20,2020-01-07,3,7,7,43836,1,1,1,6262,1,1,1441,1,481,2020
1/8/20,2020-01-08,4,8,8,43837,2,1,1,6262,1,1,1441,1,481,2020
1/9/20,2020-01-09,5,9,9,43838,2,1,1,6262,1,1,1441,1,481,2020
1/10/20,2020-01-10,6,10,10,43839,2,1,1,6262,1,1,1441,1,481,2020
1/11/20,2020-01-11,7,11,11,43840,2,1,1,6262,1,1,1441,1,481,2020
1/12/20,2020-01-12,1,12,12,43841,2,2,2,6263,1,1,1441,1,481,2020
1/13/20,2020-01-13,2,13,13,43842,2,2,2,6263,1,1,1441,1,481,2020
1/14/20,2020-01-14,3,14,14,43843,2,2,2,6263,1,1,1441,1,481,2020
1/15/20,2020-01-15,4,15,15,43844,3,2,2,6263,1,1,1441,1,481,2020
1/16/20,2020-01-16,5,16,16,43845,3,2,2,6263,1,1,1441,1,481,2020
1/17/20,2020-01-17,6,17,17,43846,3,2,2,6263,1,1,1441,1,481,2020
1/18/20,2020-01-18,7,18,18,43847,3,2,2,6263,1,1,1441,1,481,2020
1/19/20,2020-01-19,1,19,19,43848,3,3,3,6264,1,1,1441,1,481,2020
1/20/20,2020-01-20,2,20,20,43849,3,3,3,6264,1,1,1441,1,481,2020
1/21/20,2020-01-21,3,21,21,43850,3,3,3,6264,1,1,1441,1,481,2020
